"family","genus","species","size","temperature","Ic_median","In_median","Ip_median"
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",8,24,0.14900048551508,0.0265016719665855,0.00342113186085173
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",8,25,0.137255074788832,0.024803807046236,0.00321849550616692
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",8,26,0.147393025220932,0.0264701746899471,0.0033994852996074
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",8,27,0.15905368002262,0.0285043805445121,0.00373469039799187
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",8,28,0.165031478622143,0.0296348660763063,0.00374487257038261
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",8,29,0.171800094796817,0.0309942584204405,0.00402879181408911
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",8,30,0.188732915400636,0.0336288127501353,0.00434102927105222
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",10,20,0.197185515197051,0.0355780410138525,0.00446649588173082
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",10,22,0.211853527626579,0.0380776783034909,0.00482231644050098
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",10,23,0.20938863344132,0.0381562391917852,0.00470185064755141
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",10,24,0.216100675761159,0.0398382820058671,0.00530448340381412
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",10,25,0.222177185699257,0.0393452305381462,0.00492407281873677
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",10,26,0.232906682017349,0.0423709359116912,0.00547187493738139
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",10,27,0.244744239912918,0.0441961743113184,0.00561876354512976
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",10,28,0.235312757991685,0.0429890261510951,0.00557721798461369
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",10,29,0.246491597105556,0.0451753293905988,0.00596374110646732
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",12,22,0.288834957228509,0.0533319548147055,0.00673845459268364
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",12,23,0.308840948223204,0.05650615119673,0.00704813673412087
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",12,24,0.304167245729237,0.0548580627846708,0.00695093773750544
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",12,25,0.317162468922385,0.0577320207610168,0.00718534363388549
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",12,26,0.330437192265344,0.0602524350480578,0.00754634497443109
